restaurant,calories,total_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,cuisine
Arby's,450,20.0,50,1280,45,2,9,23,sandwich
Arby's,630,32.0,100,2100,48,2,9,39,sandwich
Arby's,740,39.0,130,2530,48,2,9,49,sandwich
Arby's,360,14.0,50,970,37,2,5,23,sandwich
Arby's,510,24.0,95,1610,38,2,5,38,sandwich
Arby's,610,30.0,130,2040,38,2,5,48,sandwich
Arby's,15,0.0,0,180,3,0,2,0,sandwich
Arby's,60,5.0,5,150,3,0,2,0,sandwich
Arby's,530,21.0,85,2540,50,2,3,34,sandwich
Arby's,560,29.0,95,1140,42,3,3,36,sandwich
Arby's,610,30.0,80,1580,51,4,9,35,sandwich
Arby's,510,25.0,55,1230,48,4,7,24,sandwich
Arby's,500,23.0,55,1960,48,4,7,24,sandwich
Arby's,470,23.0,75,1360,28,2,2,38,sandwich
Arby's,370,18.0,60,1190,28,2,0,23,sandwich
Arby's,610,30.0,100,1990,47,3,0,39,sandwich
Arby's,45,0.0,0,360,10,0,8,0,sandwich
Arby's,10,1.0,0,720,2,0,0,0,sandwich
Arby's,130,13.0,10,160,5,0,4,0,sandwich
Arby's,100,10.0,15,135,1,0,1,1,sandwich
Arby's,810,35.0,80,2520,79,5,15,46,sandwich
Arby's,720,28.0,65,1930,79,5,15,38,sandwich
Arby's,680,31.0,80,2420,62,4,5,37,sandwich
Arby's,700,44.0,75,1370,55,4,6,23,sandwich
Arby's,540,29.0,60,1300,48,3,5,24,sandwich
Arby's,470,20.0,45,1530,48,3,6,25,sandwich
Arby's,660,34.0,85,1970,47,3,12,43,sandwich
Arby's,790,45.0,75,2490,61,5,7,39,sandwich
Arby's,350,9.0,30,230,60,0,50,8,sandwich
Arby's,540,16.0,50,320,88,1,74,12,sandwich
Arby's,700,20.0,65,420,116,1,97,15,sandwich
Arby's,980,28.0,90,600,161,1,136,22,sandwich
Arby's,350,9.0,30,220,59,1,51,8,sandwich
Arby's,540,17.0,50,320,86,1,76,12,sandwich
Arby's,700,21.0,65,420,113,1,99,16,sandwich
Arby's,970,29.0,90,590,158,2,138,22,sandwich
Arby's,310,9.0,30,210,49,0,45,9,sandwich
Arby's,480,17.0,55,300,70,0,64,12,sandwich
Arby's,620,21.0,70,400,93,0,85,16,sandwich
Arby's,870,29.0,95,560,129,1,119,23,sandwich
Arby's,430,18.0,30,360,63,1,33,4,sandwich
Arby's,460,25.0,40,400,54,2,36,7,sandwich
Arby's,430,18.0,0,210,65,2,39,4,sandwich
Arby's,390,13.0,0,200,65,2,40,4,sandwich
Arby's,250,13.0,0,570,29,3,0,3,sandwich
Arby's,410,22.0,0,940,49,5,0,5,sandwich
Arby's,550,29.0,0,1250,65,6,0,6,sandwich
Arby's,650,35.0,0,1480,77,7,0,8,sandwich
Arby's,250,12.0,0,300,32,0,0,3,sandwich
Arby's,390,19.0,0,460,49,0,0,5,sandwich
Arby's,530,26.0,0,630,68,0,0,7,sandwich
Arby's,620,30.0,0,730,79,0,0,8,sandwich
Arby's,10,0.0,0,85,3,0,2,0,sandwich
Arby's,440,23.0,35,1410,37,2,3,19,sandwich
Arby's,650,35.0,55,2110,56,3,4,29,sandwich
Arby's,20,0.0,0,170,4,1,3,1,sandwich
Arby's,290,17.0,25,660,31,2,3,5,sandwich
Arby's,470,27.0,40,1060,50,3,4,8,sandwich
Arby's,60,0.0,0,25,15,0,15,0,sandwich
Arby's,210,10.0,35,600,12,1,1,17,sandwich
Arby's,310,15.0,50,910,18,1,1,25,sandwich
Arby's,300,14.0,25,990,31,1,2,12,sandwich
Arby's,210,9.0,25,570,21,1,1,12,sandwich
Arby's,220,9.0,25,570,21,1,1,12,sandwich
Arby's,270,11.0,25,700,30,1,1,13,sandwich
Arby's,180,5.0,20,660,21,1,2,13,sandwich
Arby's,210,9.0,25,570,21,1,1,12,sandwich
Arby's,220,9.0,25,570,21,1,1,12,sandwich
Arby's,270,11.0,25,700,30,1,1,13,sandwich
Arby's,180,5.0,20,660,21,1,2,13,sandwich
Arby's,210,10.0,35,600,12,1,1,17,sandwich
Arby's,310,15.0,50,910,18,1,1,25,sandwich
Arby's,45,0.0,0,0,13,2,11,0,sandwich
Arby's,250,13.0,0,560,29,3,0,3,sandwich
Arby's,250,12.0,0,300,32,0,0,3,sandwich
Arby's,45,0.0,0,0,12,3,8,1,sandwich
Arby's,90,2.0,10,105,10,0,10,7,sandwich
Arby's,150,2.5,10,170,26,1,23,7,sandwich
Arby's,240,0.0,0,105,62,0,62,0,sandwich
Arby's,170,0.0,0,75,44,0,44,0,sandwich
Arby's,250,0.0,0,60,62,0,62,0,sandwich
Arby's,180,0.0,0,45,44,0,44,0,sandwich
Arby's,0,0.0,0,60,0,0,0,0,sandwich
Arby's,0,0.0,0,45,0,0,0,0,sandwich
Arby's,0,0.0,0,75,0,0,0,0,sandwich
Arby's,0,0.0,0,50,0,0,0,0,sandwich
Arby's,240,0.0,0,60,61,0,61,0,sandwich
Arby's,170,0.0,0,45,43,0,43,0,sandwich
Arby's,250,0.0,0,110,65,0,63,0,sandwich
Arby's,180,0.0,0,80,46,0,45,0,sandwich
Arby's,250,0.0,0,75,67,0,67,0,sandwich
Arby's,180,0.0,0,55,47,0,47,0,sandwich
Arby's,10,0.0,0,65,3,0,0,0,sandwich
Arby's,5,0.0,0,45,2,0,0,0,sandwich
Arby's,130,0.0,0,170,34,0,34,0,sandwich
Arby's,130,0.0,0,160,33,0,33,0,sandwich
Arby's,220,0.0,0,110,57,0,57,0,sandwich
Arby's,160,0.0,0,75,41,0,41,0,sandwich
Arby's,0,0.0,0,110,0,0,0,0,sandwich
Arby's,0,0.0,0,80,0,0,0,0,sandwich
Arby's,220,0.0,0,65,60,0,59,0,sandwich
Arby's,160,0.0,0,50,42,0,42,0,sandwich
Arby's,0,0.0,0,0,0,0,0,0,sandwich
Arby's,5,0.0,0,0,1,0,0,0,sandwich
Arby's,500,33.0,40,1450,36,1,3,12,sandwich
Arby's,340,17.0,15,1180,36,1,3,10,sandwich
Arby's,340,16.0,30,1420,37,1,4,13,sandwich
Arby's,390,18.0,20,1330,44,2,2,13,sandwich
Arby's,470,22.0,145,1260,46,2,5,23,sandwich
Arby's,430,26.0,175,1010,29,1,4,18,sandwich
Arby's,470,28.0,145,1720,37,1,4,18,sandwich
Arby's,4990,26.0,145,1380,41,4,4,21,sandwich
Arby's,630,38.0,175,1450,47,2,5,24,sandwich
Arby's,580,43.0,205,1200,30,1,4,19,sandwich
Arby's,630,44.0,175,1910,39,1,4,19,sandwich
Arby's,620,40.0,175,1470,42,4,5,20,sandwich
Arby's,460,18.0,155,1290,47,2,4,26,sandwich
Arby's,410,23.0,185,1040,30,1,3,21,sandwich
Arby's,460,24.0,155,1750,38,1,3,21,sandwich
Arby's,470,23.0,165,1450,43,4,3,22,sandwich
Arby's,340,17.0,70,910,29,1,2,17,sandwich
Arby's,330,19.0,50,740,27,1,2,14,sandwich
Arby's,490,35.0,80,940,28,1,3,15,sandwich
Arby's,350,10.0,0,250,57,5,13,7,sandwich
Arby's,480,28.0,20,1770,48,1,3,9,sandwich
Arby's,970,56.0,35,3540,96,3,5,18,sandwich
Arby's,250,14.0,0,430,23,2,0,2,sandwich
Arby's,370,21.0,0,650,35,4,0,3,sandwich
Arby's,490,28.0,0,860,46,5,0,4,sandwich
Arby's,0,0.0,0,5,0,0,0,0,sandwich
Arby's,5,0.0,0,10,0,0,0,0,sandwich
Arby's,140,0.0,0,0,33,1,26,2,sandwich
Arby's,70,5.0,15,250,1,0,1,5,sandwich
Arby's,70,6.0,0,105,5,0,4,0,sandwich
Arby's,0,0.0,0,0,0,0,0,0,sandwich
Arby's,70,5.0,0,150,6,0,1,1,sandwich
Arby's,80,6.0,20,120,0,0,0,5,sandwich
Arby's,5,0.0,0,0,2,0,1,0,sandwich
Arby's,210,3.5,0,340,36,2,5,7,sandwich
Arby's,0,0.0,0,0,0,0,0,0,sandwich
